tmdbId,director,actor1,actor2,actor3,description,poster_url,title,genres,movieId,text_soup
37797,Yoshifumi Kondo,Yoko Honna,Issey Takahashi,Takashi Tachibana,"Shizuku lives a simple life, dominated by her love for stories and writing. One day she notices that all the library books she has have been previously checked out by the same person: 'Seiji Amasawa'.",https://image.tmdb.org/t/p/w500/5FROLD8zpWFs9ja7aYho1uOMJHg.jpg,Whisper of the Heart (Mimi wo sumaseba),Animation|Drama|Romance,26903,"Shizuku lives a simple life, dominated by her love for stories and writing. One day she notices that all the library books she has have been previously checked out by the same person: 'Seiji Amasawa'. Yoshifumi Kondo Yoko Honna Animation|Drama|Romance"
150689,Kenneth Branagh,Lily James,Cate Blanchett,Richard Madden,"When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her daughters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger in the woods.",https://image.tmdb.org/t/p/w500/j91LJmcWo16CArFOoapsz84bwxb.jpg,Cinderella,Children|Drama|Fantasy|Romance,130073,"When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her daughters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger in the woods. Kenneth Branagh Lily James Children|Drama|Fantasy|Romance"
363676,Clint Eastwood,Tom Hanks,Aaron Eckhart,Anna Gunn,"On 15 January 2009, the world witnessed the 'Miracle on the Hudson' when Captain 'Sully' Sullenberger glided his disabled plane onto the Hudson River, saving the lives of all 155 souls aboard. However, even as Sully was being heralded by the public and the media for his unprecedented feat of aviation skill, an investigation was unfolding that threatened to destroy his reputation and career.",https://image.tmdb.org/t/p/w500/4vs83YcJ8TsabADDtaeCJ6ZTjYY.jpg,Sully,Drama,160980,"On 15 January 2009, the world witnessed the 'Miracle on the Hudson' when Captain 'Sully' Sullenberger glided his disabled plane onto the Hudson River, saving the lives of all 155 souls aboard. However, even as Sully was being heralded by the public and the media for his unprecedented feat of aviation skill, an investigation was unfolding that threatened to destroy his reputation and career. Clint Eastwood Tom Hanks Drama"
161,Steven Soderbergh,George Clooney,Matt Damon,Andy García,"Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess.",https://image.tmdb.org/t/p/w500/hQQCdZrsHtZyR6NbKH2YyCqd2fR.jpg,Ocean's Eleven,Crime|Thriller,4963,"Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess. Steven Soderbergh George Clooney Crime|Thriller"
10539,Henry Selick,Paul Terry,Miriam Margolyes,Joanna Lumley,"When the young orphan boy James spills a magic bag of crocodile tongues, he finds himself in possession of a giant peach that flies him away to strange lands.",https://image.tmdb.org/t/p/w500/hCcndEHrNcfkDGcGgqcVGBgcBCA.jpg,James and the Giant Peach,Adventure|Animation|Children|Fantasy|Musical,661,"When the young orphan boy James spills a magic bag of crocodile tongues, he finds himself in possession of a giant peach that flies him away to strange lands. Henry Selick Paul Terry Adventure|Animation|Children|Fantasy|Musical"
348350,Ron Howard,Alden Ehrenreich,Joonas Suotamo,Woody Harrelson,"Through a series of daring escapades deep within a dark and dangerous criminal underworld, Han Solo meets his mighty future copilot Chewbacca and encounters the notorious gambler Lando Calrissian.",https://image.tmdb.org/t/p/w500/4oD6VEccFkorEBTEDXtpLAaz0Rl.jpg,Solo: A Star Wars Story,Action|Adventure|Children|Sci-Fi,187595,"Through a series of daring escapades deep within a dark and dangerous criminal underworld, Han Solo meets his mighty future copilot Chewbacca and encounters the notorious gambler Lando Calrissian. Ron Howard Alden Ehrenreich Action|Adventure|Children|Sci-Fi"
97367,Derek Cianfrance,Ryan Gosling,Eva Mendes,Bradley Cooper,"A motorcycle stunt rider considers committing a crime in order to provide for his wife and child, an act that puts him on a collision course with a cop-turned-politician.",https://image.tmdb.org/t/p/w500/vY5j2xQzMGWmxBuhQo0HfA4Lxqb.jpg,"Place Beyond the Pines, The",Crime|Drama,101525,"A motorcycle stunt rider considers committing a crime in order to provide for his wife and child, an act that puts him on a collision course with a cop-turned-politician. Derek Cianfrance Ryan Gosling Crime|Drama"
10139,Gus Van Sant,Sean Penn,Emile Hirsch,Josh Brolin,"The true story of Harvey Milk, the first openly gay man ever elected to public office. In San Francisco in the late 1970s, Harvey Milk becomes an activist for gay rights and inspires others to join him in his fight for equal rights that should be available to all Americans.",https://image.tmdb.org/t/p/w500/ot4ImF4b7QbS6XsTdMH3pWxNmX2.jpg,Milk,Drama,63876,"The true story of Harvey Milk, the first openly gay man ever elected to public office. In San Francisco in the late 1970s, Harvey Milk becomes an activist for gay rights and inspires others to join him in his fight for equal rights that should be available to all Americans. Gus Van Sant Sean Penn Drama"
122906,Richard Curtis,Domhnall Gleeson,Rachel McAdams,Bill Nighy,"The night after another unsatisfactory New Year's party, Tim's father tells his son that the men in his family have always had the ability to travel through time. They can't change history, but they can change what happens and has happened in their own lives. Thus begins the start of a lesson in learning to appreciate life itself as it is, as it comes, and most importantly, the people living alongside us.",https://image.tmdb.org/t/p/w500/iR1bVfURbN7r1C46WHFbwCkVve.jpg,About Time,Drama|Fantasy|Romance,104374,"The night after another unsatisfactory New Year's party, Tim's father tells his son that the men in his family have always had the ability to travel through time. They can't change history, but they can change what happens and has happened in their own lives. Thus begins the start of a lesson in learning to appreciate life itself as it is, as it comes, and most importantly, the people living alongside us. Richard Curtis Domhnall Gleeson Drama|Fantasy|Romance"
3597,Jim Gillespie,Jennifer Love Hewitt,Sarah Michelle Gellar,Freddie Prinze Jr.,"After an accident on a winding road, four teens make the fatal mistake of dumping their victim's body into the sea. Exactly one year later, the deadly secret resurfaces as they're stalked by a hook-handed figure.",https://image.tmdb.org/t/p/w500/aYcLakDaAJtu2HtVvOXNx8inNlK.jpg,I Know What You Did Last Summer,Horror|Mystery|Thriller,1644,"After an accident on a winding road, four teens make the fatal mistake of dumping their victim's body into the sea. Exactly one year later, the deadly secret resurfaces as they're stalked by a hook-handed figure. Jim Gillespie Jennifer Love Hewitt Horror|Mystery|Thriller"
824,Baz Luhrmann,Ewan McGregor,Nicole Kidman,John Leguizamo,"A celebration of love and creative inspiration takes place in the infamous, gaudy and glamorous Parisian nightclub, at the cusp of the 20th century. A young poet, who is plunged into the heady world of Moulin Rouge, begins a passionate affair with the club's most notorious and beautiful star.",https://image.tmdb.org/t/p/w500/2kjM5CUZRIU5yOANUowrbJcRL9L.jpg,Moulin Rouge,Drama|Musical|Romance,4308,"A celebration of love and creative inspiration takes place in the infamous, gaudy and glamorous Parisian nightclub, at the cusp of the 20th century. A young poet, who is plunged into the heady world of Moulin Rouge, begins a passionate affair with the club's most notorious and beautiful star. Baz Luhrmann Ewan McGregor Drama|Musical|Romance"
1452,Bryan Singer,Brandon Routh,Kate Bosworth,Kevin Spacey,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest to felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",https://image.tmdb.org/t/p/w500/385XwTQZDpRX2d3kxtnpiLrjBXw.jpg,Superman Returns,Action|Adventure|Sci-Fi|IMAX,46530,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest to felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel. Bryan Singer Brandon Routh Action|Adventure|Sci-Fi|IMAX"
6415,David O. Russell,George Clooney,Mark Wahlberg,Ice Cube,"A group of American soldiers stationed in Iraq at the end of the Gulf War find a map they believe will take them to a huge cache of stolen Kuwaiti gold hidden near their base, and they embark on a secret mission that's destined to change everything.",https://image.tmdb.org/t/p/w500/fClJQW8xn8wHOFqoA4jUn0PZh1f.jpg,Three Kings,Action|Adventure|Comedy|Drama|War,2890,"A group of American soldiers stationed in Iraq at the end of the Gulf War find a map they believe will take them to a huge cache of stolen Kuwaiti gold hidden near their base, and they embark on a secret mission that's destined to change everything. David O. Russell George Clooney Action|Adventure|Comedy|Drama|War"
9320,Jeremiah S. Chechik,Ralph Fiennes,Uma Thurman,Sean Connery,"British Ministry agent John Steed, under direction from ""Mother"", investigates a diabolical plot by arch-villain Sir August de Wynter to rule the world with his weather control machine. Steed investigates the beautiful Doctor Mrs. Emma Peel, the only suspect, but simultaneously falls for her and joins forces with her to combat Sir August.",https://image.tmdb.org/t/p/w500/1p5thyQ4pCy876HpdvFARqJ62N9.jpg,"Avengers, The",Action|Adventure,2153,"British Ministry agent John Steed, under direction from ""Mother"", investigates a diabolical plot by arch-villain Sir August de Wynter to rule the world with his weather control machine. Steed investigates the beautiful Doctor Mrs. Emma Peel, the only suspect, but simultaneously falls for her and joins forces with her to combat Sir August. Jeremiah S. Chechik Ralph Fiennes Action|Adventure"
27573,Andy Tennant,Gerard Butler,Jennifer Aniston,Peter Greene,"Milo Boyd, a down-on-his-luck bounty hunter, thinks he's seeing an upswing in fortune when he gets a call to bring in his bail-jumping ex-wife, a reporter named Nicole. Milo considers the job an easy payday, but Nicole quickly escapes to chase a lead on a murder case. The former spouses play an escalating game of one-upmanship, until they suddenly find themselves on the run for their lives.",https://image.tmdb.org/t/p/w500/fJPKar0jnAsS09l3xfP6LL8sUkX.jpg,"Bounty Hunter, The",Action|Comedy|Romance,75805,"Milo Boyd, a down-on-his-luck bounty hunter, thinks he's seeing an upswing in fortune when he gets a call to bring in his bail-jumping ex-wife, a reporter named Nicole. Milo considers the job an easy payday, but Nicole quickly escapes to chase a lead on a murder case. The former spouses play an escalating game of one-upmanship, until they suddenly find themselves on the run for their lives. Andy Tennant Gerard Butler Action|Comedy|Romance"
4638,Edgar Wright,Simon Pegg,Nick Frost,Jim Broadbent,"Former London constable Nicholas Angel finds it difficult to adapt to his new assignment in the sleepy British village of Sandford. Not only does he miss the excitement of the big city, but he also has a well-meaning oaf for a partner. However, when a series of grisly accidents rocks Sandford, Angel smells something rotten in the idyllic village.",https://image.tmdb.org/t/p/w500/zPib4ukTSdXvHP9pxGkFCe34f3y.jpg,Hot Fuzz,Action|Comedy|Crime|Mystery,51255,"Former London constable Nicholas Angel finds it difficult to adapt to his new assignment in the sleepy British village of Sandford. Not only does he miss the excitement of the big city, but he also has a well-meaning oaf for a partner. However, when a series of grisly accidents rocks Sandford, Angel smells something rotten in the idyllic village. Edgar Wright Simon Pegg Action|Comedy|Crime|Mystery"
2698,Tom Shadyac,Steve Carell,Morgan Freeman,Lauren Graham,God contacts Junior Congressman Evan Baxter and tells him to build an ark in preparation for a great flood.,https://image.tmdb.org/t/p/w500/u7BBXHcPRd8cGw6DVf2EvoGpviA.jpg,Evan Almighty,Comedy|Fantasy,53993,God contacts Junior Congressman Evan Baxter and tells him to build an ark in preparation for a great flood. Tom Shadyac Steve Carell Comedy|Fantasy
978,Jean-Jacques Annaud,Brad Pitt,Jamyang Jamtsho Wangchuk,David Thewlis,"Austrian mountaineer Heinrich Harrer journeys to the Himalayas without his family to head an expedition in 1939. But when World War II breaks out, the arrogant Harrer falls into Allied forces' hands as a prisoner of war. He escapes with a fellow detainee and makes his way to Lhasa, Tibet, where he meets the 14-year-old Dalai Lama, whose friendship ultimately transforms his outlook on life.",https://image.tmdb.org/t/p/w500/5euQXAgJ34TdUFl1t3O6Jw2lJAs.jpg,Seven Years in Tibet,Adventure|Drama|War,1619,"Austrian mountaineer Heinrich Harrer journeys to the Himalayas without his family to head an expedition in 1939. But when World War II breaks out, the arrogant Harrer falls into Allied forces' hands as a prisoner of war. He escapes with a fellow detainee and makes his way to Lhasa, Tibet, where he meets the 14-year-old Dalai Lama, whose friendship ultimately transforms his outlook on life. Jean-Jacques Annaud Brad Pitt Adventure|Drama|War"
24021,David Slade,Kristen Stewart,Robert Pattinson,Taylor Lautner,"Bella once again finds herself surrounded by danger as Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacob, knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. With her graduation quickly approaching, Bella is confronted with the most important decision of her life.",https://image.tmdb.org/t/p/w500/3mFM80dPzSqoXXuC2UMvLIRWX32.jpg,"Twilight Saga: Eclipse, The",Fantasy|Romance|Thriller|IMAX,78772,"Bella once again finds herself surrounded by danger as Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacob, knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. With her graduation quickly approaching, Bella is confronted with the most important decision of her life. David Slade Kristen Stewart Fantasy|Romance|Thriller|IMAX"
11377,William Malone,Geoffrey Rush,Famke Janssen,Ali Larter,An amusement park mogul offers a random group of diverse people $1 million to spend the night in a decrepit former mental institution.,https://image.tmdb.org/t/p/w500/weiGTsZqBglKxkIn5xj1nEjxn81.jpg,House on Haunted Hill,Horror|Thriller,2995,An amusement park mogul offers a random group of diverse people $1 million to spend the night in a decrepit former mental institution. William Malone Geoffrey Rush Horror|Thriller
210479,Steven Knight,Tom Hardy,Ruth Wilson,Andrew Scott,"Ivan Locke has worked hard to craft a good life for himself. Tonight, that life will collapse around him. On the eve of the biggest challenge of his career, Ivan receives a phone call that sets in motion a series of events that will unravel his family, job, and soul.",https://image.tmdb.org/t/p/w500/tTREq5tTyYwmSLDRMhybJ82zXcX.jpg,Locke,Drama,110882,"Ivan Locke has worked hard to craft a good life for himself. Tonight, that life will collapse around him. On the eve of the biggest challenge of his career, Ivan receives a phone call that sets in motion a series of events that will unravel his family, job, and soul. Steven Knight Tom Hardy Drama"
6075,Brian De Palma,Al Pacino,Sean Penn,Penelope Ann Miller,"A Puerto-Rican ex-con, just released from prison, pledges to stay away from drugs and violence despite the pressure around him, and lead a better life outside NYC.",https://image.tmdb.org/t/p/w500/g6D7mjQtndu768cusGmoEQY9fTB.jpg,Carlito's Way,Crime|Drama,431,"A Puerto-Rican ex-con, just released from prison, pledges to stay away from drugs and violence despite the pressure around him, and lead a better life outside NYC. Brian De Palma Al Pacino Crime|Drama"
18947,Richard Curtis,Tom Sturridge,Philip Seymour Hoffman,Rhys Ifans,"An ensemble comedy, where the romance is between the young people of the 60s, and pop music. It's about a band of DJs that captivate Britain, playing the music that defines a generation and standing up to a government that  wanted control of popular culture via the British Broadcasting Corporation. Loosely based on the events in Britain in the 60's when the Labour government of Harold Wilson, wanted to bring the pirate radio stations under control, enough to see the passage of the Marine Broadcasting Offences Act on 15 August 1967. Also known as ""Pirate Radio"".",https://image.tmdb.org/t/p/w500/l7CBRLAXUnHi0kp2krhLtlJvtWI.jpg,Pirate Radio,Comedy|Drama,68073,"An ensemble comedy, where the romance is between the young people of the 60s, and pop music. It's about a band of DJs that captivate Britain, playing the music that defines a generation and standing up to a government that  wanted control of popular culture via the British Broadcasting Corporation. Loosely based on the events in Britain in the 60's when the Labour government of Harold Wilson, wanted to bring the pirate radio stations under control, enough to see the passage of the Marine Broadcasting Offences Act on 15 August 1967. Also known as ""Pirate Radio"". Richard Curtis Tom Sturridge Comedy|Drama"
9263,Lesli Linka Glatter,Christina Ricci,Rosie O'Donnell,Thora Birch,"Waxing nostalgic about the bittersweet passage from childhood to puberty, four childhood girlfriends — Teeny, Chrissy, Samantha and Roberta — recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",https://image.tmdb.org/t/p/w500/q31Ks8oAmM4Nq2CcGjyYYpdBAmh.jpg,Now and Then,Children|Drama,27,"Waxing nostalgic about the bittersweet passage from childhood to puberty, four childhood girlfriends — Teeny, Chrissy, Samantha and Roberta — recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more. Lesli Linka Glatter Christina Ricci Children|Drama"
15128,Ron Underwood,Michael Keaton,Geena Davis,Bonnie Bedelia,"In the midst of election season in New Mexico, political speechwriters Julia Mann and Kevin Vallick begin a romance, unaware they are working for candidates on opposite sides.",https://image.tmdb.org/t/p/w500/bremBHwg2cAvFIGIRwlRtPMkgfL.jpg,Speechless,Comedy|Romance,378,"In the midst of election season in New Mexico, political speechwriters Julia Mann and Kevin Vallick begin a romance, unaware they are working for candidates on opposite sides. Ron Underwood Michael Keaton Comedy|Romance"
10189,David Gordon Green,Seth Rogen,James Franco,Gary Cole,A stoner and his dealer are forced to go on the run from the police after the pothead witnesses a cop commit a murder.,https://image.tmdb.org/t/p/w500/6E50WjeOYjDZg9HXgPjYdGtY2jG.jpg,Pineapple Express,Action|Comedy|Crime,61024,A stoner and his dealer are forced to go on the run from the police after the pothead witnesses a cop commit a murder. David Gordon Green Seth Rogen Action|Comedy|Crime
11674,Stephen Herek,Glenn Close,Jeff Daniels,Joely Richardson,"An evil, high-fashion designer plots to steal Dalmatian puppies in order to make an extravagant fur coat, but instead creates an extravagant mess.",https://image.tmdb.org/t/p/w500/8o2ADoAyG796UwTjwBFjPyBz0yG.jpg,101 Dalmatians,Adventure|Children|Comedy,1367,"An evil, high-fashion designer plots to steal Dalmatian puppies in order to make an extravagant fur coat, but instead creates an extravagant mess. Stephen Herek Glenn Close Adventure|Children|Comedy"
14534,David Anspaugh,Sean Astin,Jon Favreau,Ned Beatty,"Rudy grew up in a steel mill town where most people ended up working, but wanted to play football at Notre Dame instead. There were only a couple of problems. His grades were a little low, his athletic skills were poor, and he was only half the size of the other players. But he had the drive and the spirit of 5 people and has set his sights upon joining the team.",https://image.tmdb.org/t/p/w500/fAbfTCRpjHe2rprXBly55KL1dL9.jpg,Rudy,Drama,524,"Rudy grew up in a steel mill town where most people ended up working, but wanted to play football at Notre Dame instead. There were only a couple of problems. His grades were a little low, his athletic skills were poor, and he was only half the size of the other players. But he had the drive and the spirit of 5 people and has set his sights upon joining the team. David Anspaugh Sean Astin Drama"
1391,Alfonso Cuarón,Diego Luna,Gael García Bernal,Maribel Verdú,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other.",https://image.tmdb.org/t/p/w500/eTAQWIqHyFtnvNyYpFO5IoaVi1L.jpg,And Your Mother Too (Y tu mamá también),Drama|Romance,5225,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other. Alfonso Cuarón Diego Luna Drama|Romance"
7552,Dean Parisot,Jim Carrey,Téa Leoni,Alec Baldwin,"After Dick Harper loses his job at Globodyne in an Enron-esque collapse, he and his wife, Jane, turn to crime in order to handle the massive debt they now face. Two intelligent people, Dick and Jane actually get pretty good at robbing people and even enjoy it -- but they have second thoughts when they're reminded that crime can hurt innocent people. When the couple hears that Globodyne boss Jack McCallister actually swindled the company, they plot revenge.",https://image.tmdb.org/t/p/w500/xTcIPKpzCqQUQixNPS0Rb7HPEAf.jpg,Fun with Dick and Jane,Comedy|Crime,42011,"After Dick Harper loses his job at Globodyne in an Enron-esque collapse, he and his wife, Jane, turn to crime in order to handle the massive debt they now face. Two intelligent people, Dick and Jane actually get pretty good at robbing people and even enjoy it -- but they have second thoughts when they're reminded that crime can hurt innocent people. When the couple hears that Globodyne boss Jack McCallister actually swindled the company, they plot revenge. Dean Parisot Jim Carrey Comedy|Crime"
35196,Michael Hoffman,Robert Downey Jr.,Meg Ryan,Sam Neill,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",https://image.tmdb.org/t/p/w500/z1YM3WFZnF2NwHT5IRGYUcvZBSl.jpg,Restoration,Drama,43,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician. Michael Hoffman Robert Downey Jr. Drama"
